method,seed,AUROC,AUPR,FPR95,latency_ms
GCN-ENERGY,42,0.8099,0.8362,0.644,9.0024
GCN-ENERGY,43,0.8102,0.8274,0.6302,7.799
GCN-ENERGY,44,0.8105,0.8156,0.6316,8.365
GCN-ENERGY,45,0.8016,0.8176,0.6219,9.344
GCN-ENERGY,46,0.8156,0.8219,0.5886,9.164
GCN-ENERGY,47,0.813,0.8345,0.6177,8.526
GCN-ENERGY,48,0.8218,0.8412,0.5997,15.4655
GCN-ENERGY,49,0.8138,0.828,0.615,10.6735
GCN-ENERGY,50,0.8392,0.856,0.5263,10.2449
GCN-ENERGY,51,0.8297,0.8485,0.5568,9.4786
GCN-ENTROPY,42,0.7893,0.8096,0.6565,28.57
GCN-ENTROPY,43,0.7952,0.8058,0.6454,6.5125
GCN-ENTROPY,44,0.8102,0.8077,0.5886,6.2691
GCN-ENTROPY,45,0.8078,0.8163,0.597,6.1163
GCN-ENTROPY,46,0.8058,0.8076,0.5831,7.3968
GCN-ENTROPY,47,0.8044,0.8216,0.6274,6.3211
GCN-ENTROPY,48,0.8101,0.8298,0.615,11.3687
GCN-ENTROPY,49,0.8167,0.8286,0.5803,8.0438
GCN-ENTROPY,50,0.8493,0.8619,0.518,9.6853
GCN-ENTROPY,51,0.8245,0.8369,0.5499,7.613
GCN-MAXLOGIT,42,0.8073,0.8296,0.644,1.3235
GCN-MAXLOGIT,43,0.8083,0.821,0.6288,1.9261
GCN-MAXLOGIT,44,0.8101,0.8122,0.6316,1.2824
GCN-MAXLOGIT,45,0.8013,0.8168,0.6233,2.2154
GCN-MAXLOGIT,46,0.8144,0.821,0.5886,1.2744
GCN-MAXLOGIT,47,0.8123,0.8326,0.6163,1.6877
GCN-MAXLOGIT,48,0.8212,0.8412,0.5997,2.265
GCN-MAXLOGIT,49,0.8143,0.8304,0.615,1.223
GCN-MAXLOGIT,50,0.8415,0.8584,0.5263,2.0658
GCN-MAXLOGIT,51,0.8299,0.8467,0.5568,2.3933
GCN-MSP,42,0.7854,0.7964,0.6579,6.9128
GCN-MSP,43,0.7929,0.7944,0.6385,5.3874
GCN-MSP,44,0.8074,0.7956,0.5886,4.4094
GCN-MSP,45,0.8057,0.8074,0.5942,5.2985
GCN-MSP,46,0.8032,0.8036,0.5789,5.2651
GCN-MSP,47,0.8015,0.813,0.6163,5.6451
GCN-MSP,48,0.8084,0.82,0.608,7.9815
GCN-MSP,49,0.8156,0.8266,0.5776,5.6247
GCN-MSP,50,0.8493,0.8609,0.5235,5.7459
GCN-MSP,51,0.8221,0.8291,0.5512,5.6336
